"address",latitude,longitude
"AC/PC I, Corrensstraße 30, 48149 Münster",51.968479,7.597616
"AC/PC II, Corrensstraße 28, 48149 Münster",51.968399,7.597577
"AVZ (Geo) Corrensstraße, Corrensstraße 24, 48149 Münster",51.968429,7.596769
"Aegidiistraße 5, Aegidiistraße 5, 48143 Münster",51.960176,7.623896
"Aegidiistraße 67 / Hansahof, Aegidiistraße 67, 48143 Münster",51.959991,7.623459
"Alexander-von-Humboldt-Haus, Hüfferstraße 61, 48149 Münster",51.95994,7.60495
"Alte LVA-A, Bispinghof 3A, 48143 Münster",51.960786,7.620878
"Alte LVA-B, Bispinghof 2B, 48143 Münster",51.96045,7.62117
"Alte LVA-C Georgskommende 33, Georgskommende 33, 48143 Münster",51.95984,7.62059
"Alte LVA-D1 Georgskommende 25, Georgskommende 25, 48143 Münster",51.96014,7.61945
"Alte LVA-D2 Georgskommende 26, Georgskommende 26, 48143 Münster",51.95999,7.61939
"Alte LVA-E - Bispinghof 9/14, Bispinghof 9-14, 48143 Münster",51.960425,7.619727
"Alte UB, Bispinghof 24-25, 48143 Münster",51.960886,7.620915
"Am Stadtgraben 13-15, Am Stadtgraben 13-15, 48143 Münster",51.9608,7.61812
"Am Stadtgraben 9, Am Stadtgraben 9, 48143 Münster",51.961163,7.618112
"Anatomie - Pavillons, Vesaliusweg 2, 48149 Münster",51.9575,7.60649
"Anatomie HG, Vesaliusweg 2-4, 48149 Münster",51.9575,7.60649
"Angewandte Physik  (Hauptgeb.), Corrensstraße 2, 48149 Münster",51.965602,7.598204
"Angewandte Physik (Hörsaalgeb), Corrensstraße 4, 48149 Münster",51.965628,7.599326
"Angewandte Physik (MExLab), Corrensstraße 2b, 48149 Münster",51.965602,7.598204
"Angewandte Physik (Werkstatt), Corrensstraße 2, 48149 Münster",51.965602,7.598204
"Apffelstaedtstrasse 15, Apffelstaedtstr 15, 48149 Münster",51.9695,7.59805
"Augenklinik, Domagkstraße 15, 48149 Münster",51.962249,7.599998
"Biochemie, Wilhelm-Klemm-Straße 2, 48149 Münster",51.966663,7.598789
"Biologie (ehem. Hindenburgplatz 55), Schlossplatz 8, 48143 Münster",51.963872,7.617824
"Bispinghof 18, Bispinghof 18, 48143 Münster",51.9606,7.6193
"Blaue Baracke Orleansring, Orleansring 18, 48149 Münster",51.967143,7.602098
"Bogenstraße 15/16, Bogenstraße 15/16, 48143 Münster",51.964,7.627001
"Botanik Institutsgebäude, Schlossgarten 3, 48149 Münster",51.964802,7.610151
"CeNTech, Heisenbergstraße 11, 48149 Münster",51.96921,7.592882
"CeNTech II, Heisenbergstraße 11, 48149 Münster",51.96921,7.592882
"Chemie - Büro-Container, Wilhelm-Klemm-Straße 6, 48149 Münster",51.967317,7.600078
"Chemie - Hörsaalgebäude, Wilhelm-Klemm-Straße 6, 48149 Münster",51.967317,7.600078
"Chirurgische Klinik, Waldeyerstraße 1, 48149 Münster",51.959444,7.601242
"Collegium Marianum, Frauenstraße 3 - 7, 48143 Münster",51.96365,7.62131
"Corrensstraße 80, Corrensstraße 80, 48149 Münster",51.969492,7.597113
"Domplatz 6-7, Domplatz 6-7, 48143 Münster",51.962034,7.625732
